Time,Flash_backcase,Main_cam_backcase,Backcase_hotspot,Main_cam_edge,Midframe_top,Main_cam_TP,MAIN_CAM_SENSOR,SM8250_LPDDR5,Pilot_Tsensor0,Pilot_Tsensor2,Pilot_Tsensor3,TP_COP_IC
0,25,25,25,25,25,25,25,25,25,25,25,25
1,25,25,25,25,25,25,29.4,28.7,31.2,30.2,28.6,27.1
4,25,25,25,25.1,25,25.2,33.6,33,33.8,32.9,31.1,28.3
9,25,25,25.1,25.2,25.2,25.6,36.5,35.7,35.3,34.3,32.5,28.9
15,25.1,25,25.3,25.4,25.4,26.2,38.4,37.3,36.3,35.4,33.6,29.3
20,25.1,25.1,25.5,25.6,25.7,26.7,39.4,38.1,36.9,36,34.2,29.6
27,25.3,25.1,25.9,25.9,26.1,27.3,40.4,39,37.6,36.8,35,29.9
35,25.4,25.3,26.3,26.2,26.6,27.9,41.3,39.7,38.3,37.4,35.7,30.1
45,25.7,25.5,26.9,26.6,27.2,28.6,42.3,40.4,39.1,38.2,36.4,30.4
60,26.1,25.9,27.8,27.3,28.1,29.5,43.4,41.3,40,39.1,37.3,30.6
80,26.7,26.5,28.7,28.1,29.2,30.4,44.6,42.3,41,40.1,38.3,31
100,27.4,27.2,29.6,29,30.1,31.3,45.7,43.2,41.9,41,39.2,31.3
125,28.3,28.1,30.6,29.9,31.1,32.2,46.8,44.1,42.8,41.9,40.1,31.6
150,29.1,29,31.4,30.8,32.1,33.1,47.9,45,43.7,42.8,41,32
175,29.9,29.9,32.2,31.7,32.9,33.8,48.8,45.7,44.5,43.6,41.8,32.3
200,30.7,30.7,32.9,32.5,33.7,34.5,49.6,46.4,45.2,44.3,42.5,32.7
230,31.6,31.7,33.6,33.4,34.5,35.3,50.5,47.2,46,45.1,43.3,33.2
270,32.7,32.8,34.5,34.5,35.5,36.2,51.6,48.1,46.9,46,44.2,33.8
300,33.4,33.6,35.2,35.2,36.2,36.8,52.3,48.8,47.6,46.7,44.9,34.2
350,34.5,34.7,36.1,36.3,37.2,37.8,53.4,49.8,48.6,47.7,45.9,35
400,35.5,35.7,37,37.3,38.1,38.7,54.4,50.7,49.5,48.6,46.8,35.7
475,36.8,37,38.1,38.6,39.3,39.9,55.7,51.9,50.7,49.8,48,36.6
550,37.9,38.1,39.1,39.7,40.4,40.9,56.8,53,51.8,50.9,49.1,37.5
625,38.8,39.1,39.9,40.7,41.3,41.8,57.8,53.9,52.7,51.8,50,38.4
700,39.7,39.9,40.7,41.5,42.1,42.6,58.7,54.8,53.6,52.7,50.9,39.1
800,40.6,40.8,41.6,42.5,43.1,43.6,59.8,55.8,54.6,53.7,51.9,40
900,41.4,41.6,42.4,43.3,43.9,44.4,60.6,56.6,55.4,54.5,52.7,40.7
1000,42.1,42.3,43,44,44.6,45.1,61.4,57.4,56.1,55.2,53.4,41.4
1200,43.1,43.3,44,45.1,45.7,46.2,62.5,58.5,57.2,56.3,54.5,42.4
1400,43.9,44.1,44.8,45.9,46.5,47,63.4,59.3,58.1,57.2,55.4,43.1
1600,44.4,44.7,45.4,46.5,47.1,47.6,64,60,58.7,57.8,56,43.7
1800,44.9,45.1,45.8,47,47.6,48,64.5,60.4,59.2,58.3,56.5,44.1
2000,45.2,45.4,46.1,47.3,47.9,48.4,64.9,60.8,59.5,58.6,56.8,44.4
